Strategy,CAGR,MaxDD,Vol,Sharpe,Sortino,WorstYr
Seatbelt50_NewMoney_NAV,131.51,-3.56,51.22,1.87,30.05,38.05
Seatbelt50_Strict_EQ,11.96,-18.37,10.61,1.12,2.0,-15.82
